日期,Unnamed: 0,最高气温,最低气温,天气,风向,Unnamed: 0,人数,页数,week,Unnamed: 0,AQI
2018-04-28,117,28,13,霾,2,2463,1278.14,3479,6,117,134.354
2018-07-31,211,36,26,晴,2,2701,1262.96,3550,2,211,95.479
2018-08-01,212,36,27,晴,2,2700,1256.96,3550,3,212,88.917
2018-08-02,213,36,27,晴,2,2698,1243.52,3550,4,213,112.378
2018-08-03,214,36,27,晴,2,2697,1263.92,3550,5,214,80.895
2018-08-04,215,36,26,晴,2,2696,783.01,3550,6,215,95.781
2018-08-05,216,33,27,雨,3,2694,725.65,3549,7,216,61.996
2018-08-06,217,29,23,多云,2,2693,1255.05,3549,1,217,51.535
2018-08-07,218,31,24,小雨到中雨,2,2692,1261.53,3549,2,218,78.237
2018-08-08,219,28,24,小雨到暴雨,2,2691,1236.02,3549,3,219,36.535
2018-08-09,220,33,24,多云,1,2690,1279.95,3549,4,220,44.415
2018-08-10,221,34,24,多云,2,2689,1305.24,3548,5,221,66.003
2018-08-11,222,30,25,雨,2,2688,831.06,3548,6,222,66.932
2018-08-12,223,29,26,小雨到暴风雨,3,2687,782.71,3548,7,223,66.416
2018-08-13,224,34,26,多云,2,2686,1279.01,3548,1,224,60.417
2018-08-14,225,28,24,小雨,2,2685,1286.21,3548,2,225,39.339
2018-08-15,226,32,24,晴,3,2684,1308.49,3548,3,226,34.537
2018-08-16,227,32,23,多云,2,2683,1313.58,3547,4,227,38.114
2018-08-17,228,31,22,晴,2,2681,1380.78,3547,5,228,68.304
2018-08-18,229,27,22,小雨到中雨,2,2679,876.7,3547,6,229,34.908
2018-08-19,230,26,23,小雨转多云,2,2678,797.1,3547,7,230,39.145
2018-08-20,231,33,23,晴,2,2677,1291.31,3547,1,231,42.663
2018-08-21,232,33,21,多云,3,2676,1300.85,3547,2,232,38.148
2018-08-22,233,29,21,晴,2,2675,1263.74,3546,3,233,50.142
2018-08-23,234,32,24,晴,3,2674,1265.79,3546,4,234,43.889
2018-08-24,235,32,21,晴,2,2673,1297.55,3546,5,235,40.279
2018-08-25,236,31,20,多云,2,2672,851.09,3546,6,236,63.86
2018-08-26,237,31,22,晴,2,2671,782.01,3546,7,237,84.98
2018-08-27,238,30,23,多云,2,2670,1235.33,3545,1,238,95.853
