,日期,AQI
0,2018-01-01,62.824
1,2018-01-02,52.818
2,2018-01-03,30.895
3,2018-01-04,33.0
4,2018-01-05,62.507
5,2018-01-06,40.898
6,2018-01-07,71.266
7,2018-01-08,50.929
8,2018-01-09,36.118
9,2018-01-10,25.138
10,2018-01-11,27.627
11,2018-01-12,89.947
12,2018-01-13,143.758
13,2018-01-14,192.827
14,2018-01-15,55.825
15,2018-01-16,109.909
16,2018-01-17,83.442
17,2018-01-18,97.828
18,2018-01-19,131.495
19,2018-01-20,73.138
20,2018-01-21,63.558
21,2018-01-22,56.871
22,2018-01-23,32.386
23,2018-01-24,40.655
24,2018-01-25,32.398
25,2018-01-26,48.758
26,2018-01-27,116.491
27,2018-01-28,59.153
28,2018-01-29,57.974
29,2018-01-30,41.832
30,2018-01-31,61.973
31,2018-02-01,72.3
32,2018-02-02,32.529
33,2018-02-03,27.419
34,2018-02-04,40.024
35,2018-02-05,24.873
36,2018-02-06,64.672
37,2018-02-07,60.714
38,2018-02-08,75.825
39,2018-02-09,97.665
40,2018-02-10,40.754
41,2018-02-11,62.307
42,2018-02-12,53.609
43,2018-02-13,88.348
44,2018-02-14,42.01
45,2018-02-15,75.916
46,2018-02-16,132.519
47,2018-02-17,107.138
48,2018-02-18,156.892
49,2018-02-19,185.6
50,2018-02-20,79.403
51,2018-02-21,64.986
52,2018-02-22,47.503
53,2018-02-23,54.547
54,2018-02-24,61.335
55,2018-02-25,80.311
56,2018-02-26,166.198
57,2018-02-27,223.013
58,2018-02-28,142.114
59,2018-03-01,48.7
60,2018-03-02,108.049
61,2018-03-03,219.414
62,2018-03-04,156.01
63,2018-03-05,91.801
64,2018-03-06,67.185
65,2018-03-07,67.108
66,2018-03-08,68.876
67,2018-03-09,137.003
68,2018-03-10,164.976
69,2018-03-11,87.597
70,2018-03-12,188.439
71,2018-03-13,296.58
72,2018-03-14,295.358
73,2018-03-15,68.051
74,2018-03-16,58.129
75,2018-03-17,83.433
76,2018-03-18,136.989
77,2018-03-19,102.315
78,2018-03-20,44.333
79,2018-03-21,77.772
80,2018-03-22,113.376
81,2018-03-23,144.831
82,2018-03-24,125.886
83,2018-03-25,86.804
84,2018-03-26,157.856
85,2018-03-27,238.11
86,2018-03-28,376.902
