,日期,最高气温,最低气温,天气,风向
0,2018-01-01,10,2,阴,2
1,2018-01-02,2,-12,阴,2
2,2018-01-03,2,-5,雪,3
3,2018-01-04,-2,-5,多云,1
4,2018-01-05,2,-4,晴,3
5,2018-01-06,3,-8,阴,2
6,2018-01-07,13,6,雨,2
7,2018-01-08,10,1,晴,4
8,2018-01-09,7,-3,晴,3
9,2018-01-10,4,-7,晴,3
10,2018-01-11,15,5,晴,2
11,2018-01-12,0,-9,晴,2
12,2018-01-13,4,-8,阴,2
13,2018-01-14,12,4,晴,3
14,2018-01-15,6,-4,霾,2
15,2018-01-16,10,-12,多云,3
16,2018-01-17,24,19,晴,2
17,2018-01-18,9,3,多云,2
18,2018-01-19,19,16,雨,2
19,2018-01-20,6,3,阴,1
20,2018-01-21,8,5,雨,2
21,2018-01-22,22,15,多云,1
22,2018-01-23,8,2,阴,3
23,2018-01-24,0,-10,多云,2
24,2018-01-25,17,12,阴,1
25,2018-01-26,-2,-10,阴,2
26,2018-01-27,16,9,阴,2
27,2018-01-28,0,-7,霾,3
28,2018-01-29,-5,-18,多云,2
29,2018-01-30,5,-1,阴,4
30,2018-01-31,3,-7,晴,2
31,2018-02-01,4,-8,多云,2
32,2018-02-02,15,10,阴,3
33,2018-02-03,1,-6,晴,3
34,2018-02-04,3,-7,多云,1
35,2018-02-05,0,-14,晴,1
36,2018-02-06,3,-11,晴,2
37,2018-02-07,1,-5,晴,3
38,2018-02-08,1,-8,多云,2
39,2018-02-09,9,0,霾,2
40,2018-02-10,-2,-10,晴,3
41,2018-02-11,8,5,多云,1
42,2018-02-12,5,-7,晴,3
43,2018-02-13,13,-4,晴,3
44,2018-02-14,11,-5,阴,2
45,2018-02-15,5,-6,多云,2
46,2018-02-16,8,-5,晴,2
47,2018-02-17,3,-6,阴,2
48,2018-02-18,8,-4,晴,1
49,2018-02-19,6,-3,霾,2
50,2018-02-20,7,-2,多云,2
51,2018-02-21,19,13,雨,2
52,2018-02-22,9,-4,多云,2
53,2018-02-23,3,-12,多云,3
54,2018-02-24,3,-4,多云,3
55,2018-02-25,5,-6,多云,2
56,2018-02-26,17,3,阴,2
57,2018-02-27,5,-1,阴,2
58,2018-02-28,5,-1,多云,2
59,2018-03-01,19,11,雨,2
60,2018-03-02,9,-3,晴,2
61,2018-03-03,10,-1,霾,1
62,2018-03-04,26,19,雨,3
63,2018-03-05,7,-2,晴,2
64,2018-03-06,4,-4,多云,3
65,2018-03-07,8,5,雨,3
66,2018-03-08,6,-2,晴,2
67,2018-03-09,7,-6,多云,3
68,2018-03-10,12,-1,霾,2
69,2018-03-11,6,-3,多云,2
70,2018-03-12,13,-1,霾,1
71,2018-03-13,21,15,雨,2
72,2018-03-14,21,7,雨,3
73,2018-03-15,19,11,雨,3
74,2018-03-16,29,17,雨,2
75,2018-03-17,15,4,多云,4
76,2018-03-18,12,-1,多云,1
77,2018-03-19,14,1,多云,2
78,2018-03-20,21,14,晴,3
79,2018-03-21,11,-1,晴,2
80,2018-03-22,23,11,晴,2
81,2018-03-23,24,5,多云,3
82,2018-03-24,23,4,晴,2
83,2018-03-25,25,5,晴,2
84,2018-03-26,25,8,多云,2
85,2018-03-27,26,17,多云,2
86,2018-03-28,27,10,多云,1
87,2018-03-29,19,9,晴,3
88,2018-03-30,20,14,晴,3
89,2018-03-31,24,8,多云,2
90,2018-04-01,27,9,霾,2
91,2018-04-02,26,11,霾,2
92,2018-04-03,14,3,雨,3
93,2018-04-04,8,0,雪,2
94,2018-04-05,6,0,多云,2
95,2018-04-06,9,3,多云,4
96,2018-04-07,13,3,晴,3
97,2018-04-08,15,-4,雨,2
98,2018-04-09,18,4,多云,2
99,2018-04-10,23,7,晴,3
100,2018-04-11,24,8,多云,2
101,2018-04-12,21,8,多云,3
102,2018-04-13,14,6,雨,3
103,2018-04-14,15,11,雨,4
104,2018-04-15,21,6,晴,2
105,2018-04-16,21,11,雨,2
106,2018-04-17,25,17,多云,2
107,2018-04-18,25,12,晴,2
108,2018-04-19,27,14,多云,3
109,2018-04-20,30,13,晴,3
110,2018-04-21,17,12,雨,3
111,2018-04-22,15,12,阴,2
112,2018-04-23,19,11,多云,2
113,2018-04-24,24,9,阴,2
114,2018-04-25,21,14,雨,2
115,2018-04-26,28,11,晴,2
116,2018-04-27,26,11,晴,3
117,2018-04-28,28,13,霾,2
118,2018-04-29,28,17,雨,2
119,2018-04-30,24,14,阴,3
120,2018-05-01,24,13,雨,2
121,2018-05-02,23,13,雨,2
122,2018-05-03,24,13,晴,2
123,2018-05-04,27,10,晴,2
124,2018-05-05,25,15,阴,3
125,2018-05-06,27,13,阴,2
126,2018-05-07,26,15,阴,2
127,2018-05-08,26,12,多云,2
128,2018-05-09,26,13,多云,2
129,2018-05-10,26,15,阴,2
130,2018-05-11,23,16,阴,2
131,2018-05-12,25,15,雨,2
132,2018-05-13,27,22,阴,2
133,2018-05-14,32,17,多云,2
134,2018-05-15,30,23,雨,3
135,2018-05-16,29,22,雨,2
136,2018-05-17,24,19,多云,2
137,2018-05-18,28,18,晴,2
138,2018-05-19,28,16,雨,2
139,2018-05-20,18,16,阴,2
140,2018-05-21,18,14,阴,2
141,2018-05-22,25,14,晴,3
142,2018-05-23,31,10,晴,3
143,2018-05-24,31,26,多云,2
