,日期,人数,页数,week
2664,2023-07-08,,3545,6
0,2023-05-28,662.11,2,7
1,2023-05-27,640.15,4,6
3,2023-05-26,1129.95,7,5
4,2023-05-25,1034.95,9,4
5,2023-05-24,1054.17,10,3
6,2023-05-23,1054.17,12,2
7,2023-05-22,1056.39,14,1
8,2023-05-21,660.18,16,7
10,2023-05-19,1134.92,23,5
11,2023-05-18,1066.37,25,4
12,2023-05-17,1064.50,27,3
13,2023-05-16,1053.45,29,2
14,2023-05-15,1070.88,30,1
15,2023-05-14,672.43,33,7
16,2023-05-13,772.16,35,6
17,2023-05-12,1155.80,40,5
18,2023-05-11,1081.65,42,4
20,2023-05-10,1092.35,45,3
21,2023-05-09,1078.69,48,2
22,2023-05-08,1074.33,51,1
23,2023-05-07,637.12,53,7
24,2023-05-06,1045.64,56,6
25,2023-05-05,1048.85,56,5
27,2023-05-04,1036.22,59,4
29,2023-05-03,682.5,63,3
30,2023-05-02,731.88,66,2
31,2023-05-01,781.65,70,1
32,2023-04-30,844.27,77,7
66,2023-04-29,872.19,87,6
67,2023-04-28,1236.33,99,5
71,2023-04-27,1131.97,114,4
72,2023-04-26,1130.22,117,3
74,2023-04-25,1111.91,122,2
75,2023-04-24,1084.21,125,1
76,2023-04-23,1052.39,127,7
77,2023-04-22,711.06,129,6
78,2023-04-21,1171.96,130,5
80,2023-04-20,1096.68,137,4
81,2023-04-19,1108.06,139,3
82,2023-04-18,1112.46,141,2
83,2023-04-17,1096.87,142,1
85,2023-04-16,751.19,144,7
86,2023-04-15,826.74,146,6
87,2023-04-14,1198.97,154,5
88,2023-04-13,1106.71,158,4
89,2023-04-12,1117.09,160,3
90,2023-04-11,1079.83,161,2
92,2023-04-10,1100.77,164,1
93,2023-04-09,721.17,166,7
94,2023-04-08,807.71,169,6
95,2023-04-07,1187.59,175,5
96,2023-04-06,1090.20,181,4
97,2023-04-05,639.26,183,3
98,2023-04-04,1078.84,186,2
99,2023-04-03,1060.12,190,1
100,2023-04-02,688.26,192,7
102,2023-04-01,822.27,197,6
103,2023-03-31,1187.77,204,5
104,2023-03-30,1086.06,212,4
105,2023-03-29,1088.82,213,3
106,2023-03-28,1084.03,216,2
108,2023-03-27,1084.71,220,1
109,2023-03-26,719.10,222,7
